POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G.1,GS,IP,K/9,BB/9,HR/9,BABIP.1,LOB%,GB%,ERA,FIP,WAR.1,Draft_POS
Batter,Gleyber Torres,DET,142.0,637,18.0,80.0,66.0,5.0,11.20%,17.10%,0.146,0.292,0.26,0.346,0.406,0.331,112.0,-1.8,7.4,-1.5,2.9,,,,,,,,,,,,,,,,Util
Batter,Steven Kwan,CLE,124.0,573,11.0,74.0,49.0,16.0,9.50%,9.60%,0.119,0.293,0.278,0.35,0.396,0.328,112.0,1.3,9.4,-1.3,2.8,,,,,,,,,,,,,,,,Util
Batter,Cody Bellinger,NYY,130.0,574,24.0,73.0,80.0,9.0,8.30%,15.10%,0.194,0.274,0.264,0.328,0.457,0.337,118.0,0.1,12.1,-4.4,2.8,,,,,,,,,,,,,,,,Util
Batter,Kyle Schwarber,PHI,138.0,626,39.0,97.0,90.0,6.0,14.90%,27.90%,0.268,0.259,0.231,0.353,0.499,0.364,133.0,-2.2,22.6,-16.1,2.8,,,,,,,,,,,,,,,,Util
Batter,Rafael Devers,SFG,140.0,622,29.0,82.0,84.0,2.0,12.30%,24.90%,0.215,0.293,0.248,0.346,0.464,0.346,125.0,-1.6,16.8,-10.6,2.7,,,,,,,,,,,,,,,,3B
Batter,Pete Alonso,BAL,146.0,642,35.0,88.0,100.0,3.0,9.50%,23.00%,0.24,0.28,0.254,0.337,0.494,0.354,130.0,-2.4,20.4,-15.8,2.7,,,,,,,,,,,,,,,,1B
Batter,Oneil Cruz,PIT,115.0,517,22.0,72.0,60.0,27.0,10.70%,30.10%,0.202,0.308,0.238,0.324,0.439,0.329,109.0,2.6,8.0,1.5,2.7,,,,,,,,,,,,,,,,Util
Batter,Brandon Nimmo,TEX,142.0,642,23.0,85.0,72.0,10.0,9.70%,22.10%,0.173,0.302,0.256,0.337,0.429,0.334,116.0,-0.4,11.8,-7.7,2.7,,,,,,,,,,,,,,,,Util
Batter,Jose Altuve,HOU,129.0,587,20.0,78.0,69.0,12.0,8.30%,17.00%,0.168,0.293,0.267,0.333,0.435,0.332,114.0,-0.4,9.0,-3.1,2.7,,,,,,,,,,,,,,,,2B
Batter,Kevin McGonigle,DET,108.0,443,12.0,49.0,48.0,8.0,11.00%,14.80%,0.157,0.281,0.257,0.343,0.414,0.332,113.0,-0.3,6.6,4.2,2.7,,,,,,,,,,,,,,,,Util
Batter,Dansby Swanson,CHC,129.0,527,17.0,58.0,60.0,12.0,8.40%,25.00%,0.158,0.295,0.241,0.308,0.399,0.308,98.0,1.1,-0.1,8.5,2.7,,,,,,,,,,,,,,,,Util
