POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
Batter,Iván Herrera,STL,109,472,16,59,60,7,10.60%,19.50%,0.168,0.316,0.273,0.362,0.441,0.351,128,-0.1,15.7,-10.1,2.2,,,,,,,,,,,,,,,
Batter,Royce Lewis,MIN,117,468,20,57,63,9,7.70%,21.50%,0.195,0.281,0.251,0.311,0.446,0.326,108,-0.2,4.4,0.8,2.2,,,,,,,,,,,,,,,
Batter,Jakob Marsee,MIA,118,541,12,70,46,33,11.70%,22.50%,0.141,0.286,0.232,0.331,0.373,0.313,99,2.7,1.9,1.4,2.2,,,,,,,,,,,,,,,
Batter,Otto Lopez,MIA,116,488,10,52,53,13,7.20%,15.10%,0.126,0.302,0.271,0.327,0.397,0.316,101,0.6,0.9,4.1,2.2,,,,,,,,,,,,,,,
Batter,Andrés Giménez,TOR,134,526,12,61,55,18,5.80%,17.30%,0.131,0.287,0.253,0.311,0.383,0.304,94,1.2,-2.2,5.4,2.2,,,,,,,,,,,,,,,
Batter,Brent Rooker,ATH,139,608,30,82,91,5,9.60%,25.60%,0.228,0.303,0.257,0.335,0.485,0.351,123,-1,15.6,-15.3,2.2,,,,,,,,,,,,,,,
Batter,Ian Happ,CHC,143,627,22,79,74,7,12.40%,23.90%,0.178,0.291,0.241,0.339,0.419,0.332,115,-0.8,10.1,-9.9,2.1,,,,,,,,,,,,,,,
Batter,Caleb Durbin,BOS,110,445,9,51,47,18,7.40%,11.00%,0.14,0.283,0.267,0.34,0.407,0.328,106,1,4.2,1.4,2.1,,,,,,,,,,,,,,,
Batter,Bo Naylor,CLE,104,405,16,46,48,4,10.70%,24.50%,0.186,0.257,0.221,0.307,0.406,0.311,100,-0.4,-0.5,6.9,2.1,,,,,,,,,,,,,,,
Batter,Alec Bohm,PHI,124,532,14,61,67,3,6.90%,15.60%,0.15,0.304,0.275,0.33,0.426,0.328,108,-1,4.3,-1.2,2.1,,,,,,,,,,,,,,,
Batter,Tyler Soderstrom,ATH,106,461,22,60,67,5,8.70%,22.30%,0.216,0.292,0.259,0.329,0.475,0.345,119,-0.6,9.9,-5,2.1,,,,,,,,,,,,,,,
Batter,Munetaka Murakami,CHW,136,587,32,75,85,8,12.60%,29.00%,0.227,0.275,0.23,0.333,0.457,0.339,118,-0.9,11.5,-11.2,2.1,,,,,,,,,,,,,,,
Batter,Michael Busch,CHC,115,506,23,69,66,3,10.40%,24.70%,0.218,0.291,0.248,0.334,0.466,0.344,123,-1.4,12.6,-8.9,2.1,,,,,,,,,,,,,,,
Batter,Jackson Holliday,BAL,102,442,12,57,44,13,10.40%,21.20%,0.152,0.299,0.251,0.334,0.403,0.323,109,0.1,4.7,0.5,2.1,,,,,,,,,,,,,,,
Batter,Vinnie Pasquantino,KCR,127,560,25,73,82,1,8.80%,15.00%,0.213,0.274,0.267,0.337,0.481,0.349,122,-1.9,12.7,-11.5,2.1,,,,,,,,,,,,,,,
Batter,Ozzie Albies,ATL,132,549,17,64,65,10,7.60%,15.10%,0.162,0.278,0.258,0.32,0.421,0.321,105,0.2,3.5,-1.3,2.1,,,,,,,,,,,,,,,
Batter,Jake Cronenworth,SDP,135,590,14,69,56,5,10.50%,19.90%,0.14,0.278,0.236,0.329,0.376,0.313,103,-0.5,1.9,-1.2,2.1,,,,,,,,,,,,,,,
Batter,Ryan Jeffers,MIN,110,454,15,52,53,2,9.40%,21.00%,0.172,0.283,0.245,0.329,0.417,0.326,109,-1.1,3.5,1.9,2.1,,,,,,,,,,,,,,,
Batter,Alec Burleson,STL,124,541,20,66,73,6,7.10%,14.00%,0.177,0.291,0.278,0.333,0.455,0.34,121,-1.3,12.1,-9.9,2.1,,,,,,,,,,,,,,,
Batter,J.P. Crawford,SEA,116,498,10,59,44,5,11.90%,19.50%,0.119,0.289,0.242,0.337,0.36,0.312,106,-0.6,2.8,0.1,2,,,,,,,,,,,,,,,
Batter,Freddy Fermin,SDP,102,393,10,42,41,3,7.00%,19.60%,0.129,0.291,0.249,0.306,0.378,0.3,95,-0.2,-2.8,9.4,2,,,,,,,,,,,,,,,
Batter,Nolan Schanuel,LAA,126,559,16,68,62,6,11.70%,13.80%,0.15,0.29,0.27,0.363,0.42,0.343,120,-1.6,11.5,-11.1,2,,,,,,,,,,,,,,,
Batter,Joey Ortiz,MIL,126,480,10,53,49,12,7.70%,16.90%,0.133,0.284,0.25,0.313,0.383,0.305,95,0.8,-1.9,5.5,2,,,,,,,,,,,,,,,
Batter,Seiya Suzuki,CHC,120,529,22,68,71,6,10.50%,25.30%,0.2,0.308,0.254,0.335,0.454,0.34,121,-1,11.9,-10,2,,,,,,,,,,,,,,,
Batter,Jung Hoo Lee,SFG,111,470,8,52,51,8,7.70%,11.40%,0.137,0.294,0.273,0.334,0.411,0.324,110,0.5,6.2,-2.4,2,,,,,,,,,,,,,,,
Batter,Nolan Arenado,ARI,124,531,17,60,69,3,7.00%,14.80%,0.159,0.274,0.257,0.313,0.416,0.314,100,-0.9,-0.9,2.6,2,,,,,,,,,,,,,,,
Batter,Anthony Volpe,NYY,104,429,13,50,48,16,7.90%,23.60%,0.168,0.276,0.231,0.296,0.399,0.302,94,1.5,-1.6,6.1,2,,,,,,,,,,,,,,,
Batter,Colt Keith,DET,112,489,15,58,58,4,9.40%,19.90%,0.168,0.304,0.263,0.335,0.43,0.332,113,0.3,7.8,-5.5,2,,,,,,,,,,,,,,,
Batter,Miguel Vargas,CHW,113,492,15,57,56,6,11.10%,19.40%,0.167,0.27,0.238,0.329,0.405,0.323,107,-0.4,3.4,-1.3,1.9,,,,,,,,,,,,,,,
Batter,Jarren Duran,BOS,128,577,15,74,65,20,8.10%,23.50%,0.179,0.32,0.258,0.326,0.437,0.33,107,3.2,8.2,-9.2,1.9,,,,,,,,,,,,,,,
Batter,TJ Friedl,CIN,111,512,14,67,48,10,10.20%,17.10%,0.146,0.28,0.249,0.34,0.396,0.325,104,0.3,2.5,-1,1.9,,,,,,,,,,,,,,,
Batter,Jorge Polanco,NYM,109,469,20,58,63,5,9.80%,20.60%,0.19,0.276,0.248,0.326,0.438,0.331,116,-0.8,8.1,-5.9,1.8,,,,,,,,,,,,,,,
Batter,Brandon Lowe,PIT,109,489,22,63,63,4,8.30%,25.50%,0.2,0.286,0.243,0.311,0.443,0.325,106,-0.7,3,-1.6,1.8,,,,,,,,,,,,,,,
Batter,Jeff McNeil,ATH,123,484,11,55,53,4,8.00%,12.80%,0.143,0.284,0.264,0.334,0.407,0.323,104,-1.6,0.7,0.1,1.8,,,,,,,,,,,,,,,
Batter,Wilyer Abreu,BOS,102,430,18,55,57,7,11.10%,24.50%,0.203,0.296,0.25,0.336,0.453,0.339,114,-0.3,6.8,-4.1,1.8,,,,,,,,,,,,,,,
Batter,Max Muncy,LAD,86,351,16,45,45,2,14.80%,25.00%,0.213,0.255,0.222,0.346,0.435,0.34,119,-1.2,6.8,-1.1,1.8,,,,,,,,,,,,,,,
Batter,Evan Carter,TEX,93,367,10,44,41,14,10.50%,21.70%,0.163,0.291,0.244,0.333,0.407,0.324,109,0.6,4.6,0.1,1.8,,,,,,,,,,,,,,,
Batter,Carlos Narváez,BOS,88,339,10,39,37,3,10.00%,26.00%,0.156,0.291,0.232,0.315,0.387,0.309,93,-0.6,-3.4,7.4,1.8,,,,,,,,,,,,,,,
Batter,Josh Smith,TEX,111,475,10,54,47,8,9.60%,18.90%,0.129,0.288,0.246,0.331,0.375,0.312,101,-0.2,0.3,0.4,1.7,,,,,,,,,,,,,,,
Batter,Hunter Goodman,COL,108,469,24,60,71,2,5.90%,25.40%,0.233,0.294,0.255,0.304,0.488,0.337,103,-0.6,1,-0.1,1.7,,,,,,,,,,,,,,,
Batter,Lawrence Butler,ATH,113,480,19,60,57,16,8.80%,25.40%,0.189,0.295,0.245,0.313,0.434,0.324,105,1.4,4,-3.7,1.7,,,,,,,,,,,,,,,
Batter,Randy Arozarena,SEA,147,631,21,77,74,21,9.90%,26.60%,0.17,0.293,0.233,0.329,0.403,0.322,113,-0.6,9.1,-14,1.7,,,,,,,,,,,,,,,
Batter,Lars Nootbaar,STL,102,445,14,55,47,6,12.40%,20.10%,0.162,0.289,0.249,0.345,0.41,0.331,115,0,7.8,-6,1.7,,,,,,,,,,,,,,,
